question,correct,ans1,ans2,ans3,ans4,img,questionType
Which company logo is this from?,1,AirControl,Amazon,Adobe Inc.,Accenture,AirControl1.jpg,1
Which company logo is this from?,2,Caterpillar Inc,Continental,Canon Inc.,Cisco System,Continental1.jpg,1
Which company logo is this from?,3,Dominion Energy,Domino's Pizza,Dearing,Disney,dearing1.jpg,1
Which company logo is this from?,4,FedEx Corp.,Foot Locker,Fox Corp.,First Energy,F_E1.jpg,1
Which company logo is this from?,3,Gap,Goldman Sachs Group,GMS,Google ,GMS1.jpg,1
Which company logo is this from?,4,General Motors Company,Garmin Ltd.,General Electric Company,Goodyear,Goodyear1.jpg,1
Which company logo is this from?,2,HSBC Holdings plc,Hillcrest Foodservice,Herschey Company,Hitachi ,Hillcrest1.jpg,1
Which company logo is this from?,1,Leaf Filter,L'Oreal,Liberty Mutual Insurance Group,LG Corp,LeafFilter1.jpg,1
Which company logo is this from?,2,Microsoft,MRI,Marriot International,Mitsubishi Corp,MRI_logo1.jpg,1
Which company logo is this from?,2,Continental,Caterpillar,Costco Wholesale,CVS Health Corp,ohio-cat1.jpg,1
Which company logo is this from?,4,Pfizer Inc.,Panasonic Corp,PayPal Holdings ,Palmer Holland,PalmerHolland1.jpg,1
Which company logo is this from?,3,Prudential Financial Inc.,Puma SE,Parker-Hannifin,PepsiCo.,parker1.jpg,1
Which company logo is this from?,2,Phillips 66,Park Place,Pearson plc,Procter & Gamble Company (P&G),ParkPlace1.jpg,1
Which company logo is this from?,1,Penske,Polaris Inc.,Panasonic Avionics Corp,Pinterest Inc.,Penske1.jpg,1
Which company logo is this from?,1,Progressive,PPG Industries,Public Storage,Pool Corp.,Progressive1.jpg,1
Which company logo is this from?,3,Rolls-Royce Holdings,Rite Aid Corp,RiteHite,Rockwell Automation,ritehite1.jpg,1
Which company logo is this from?,4,Red Hat,Royal Dutch shell,Republic Services,Rocket Mortgage,Rocket_Mortgage1.jpg,1
Which company logo is this from?,2,Shopify Inc.,Smuckers,Sysco Corp,Sony Corp,smuckers1.jpg,1
Which company logo is this from?,3,Stanley Black & Decker ,Stryker Corp,Suntrol,Schlumberger Limited,Suntrol1.jpg,1
Which company logo is this from?,1,SVN,Starbucks Corp,Samsung Electronics Co.,Scheneider Electric Se,SVN1.jpg,1
Which company logo is this from?,2,Toyota Motor Corp,Trexon,Target Corp,Tencent Holdings Limited,trexon1.jpg,1
Which company logo is this from?,3,Oracle Corp,Occidental Petroleum Corp,OEC,Owens Corning,OEC1.jpg,1
Which company logo is this from?,4,Sun Life Financial Inc.,Sprint Corp.,Sirus XM Holdings Inc.,Storage Building Unlimited,SBU1.jpg,1
Which company logo is this from?,2,Procter & Gamble Co.,Power Graphics & Action,PNC Financial Services Group,Power Corporation of Canada,Power_Graphics1.jpg,1
Which company logo is this from?,1,CED,Comcast Corp,China Mobile Limited,Citigroup Inc.,CED1.jpg,1
In which years did Caterpillar used this logo?,3,1931-1989,1989-2004,1925-1931,2004-present,Caterpillar1925-1931.jpg,2
