question,correct,ans1,ans2,ans3,ans4,img
What year was the University of Akron founded?,2,1909,1870,1886,1901,img1.jpg
What is the official mascot of the University of Akron?,1,Zippy the Kangaroo,Zipper the Zebra,Zappy the Koala,Zingo the Kangaroo,img2.jpg
Who was the founder and first president of the University of Akron,4,Everett L. Rexford,George F. Zook,Sullivan H. McCollester,John R. Buchtel,img3.jpg
In what year did the University of Akron become a public university?,3,1970,1870,1967,1931,img1.jpg
What are the official colors of the University of Akron?,1,Blue and Gold,Blue and White,Red and Blue,Yellow and White,img5.jpg
What is the name of the library at the University of Akron?,2,Sanglam Library,Bierce Library,King Library,Timken Science Library,img6.jpg
What is the name of the basketball arena at the University of Akron?,1,James A. Rhodes,Lebron James Arena,Akron Hoops Dome,James A. Stadium,img7.jpg
The University of Akron is known for its strong programs in which field of engineering?,2,Computer Science,Polymer Science and plastics engineering,Civil Engineering,Computer Engineering,img8.jpg
What is the name of the honors program at the University of Akron?,1,Williams Honors College,Buchtel Honors Program,Summit Scholars Initiative,Merit Honors Program,img9.jpg
What is the nickname given to the student section at the University of Akron's sporting events?,4,Roo Rumble,Zippy's Zealots,Akron Fanatics,Ak Rowdies,img10.jpg
What is the nickname of the University of Akron's marching band?,1,Ohio's Pride,Zippy's Pride,Marching Aces,The Marching Roos,img11.jpg
"In what year did the University of Akron adopt the nickname ""Zips"" for its athletic teams?",3,1940,1909,1950,1899,img10.jpg
What is the name of the recreation center on the University of Akron's campus?,1,Student Recreation and Wellness center,Student Fitness Center,Roo Wellness Hub,Recreation and Activity Center,img12.jpg
Which famous astronaut and senator attended the University of Akron?,3,Chiaki Mukai,Kalpana Chawla,John Glenn,Neil Armstrong,img13.jpg
The University of Akron's eSports program competes in which collegiate eSports league?,1,ESC,NACE,EGF,MAC,img14.jpg
What is the name of the University of Akron's official fight song?,4,Victory Anthem,Roo Spirit March,Zippy's Triumph,The Akron Blue and Gold,img11.jpg
What is the name of the annual fundraising campaign at the University of Akron that supports student scholarships and programs?,1,Making a Difference scholarship campaign,ZipsGiving,Student Impact Fund,Future Scholars Drive,img15.jpg
The University of Akron's College of Polymer Science and Polymer Engineering is often ranked among the top programs globally. In what year was this college established?,4,1980,1962,1993,1988,img8.jpg
What was the University of Akron name before it changed?,2,Municipal University of Akron,Buchtel College,Akron University,Summit Technical College,img1.jpg
"Which former international soccer player and coach, known for his time with the U.S. Men's National Team, is an alumnus of the University of Akron?",3,Landon Donovan,Steve Zakuani,DeAndre Yedlin,Mark McKenzie,img16.jpg
"What is the name of the university's radio station, providing a platform for student involvement in broadcasting?",4,Z-FM,Roo Radio,Akron Airwaves,WZIP Radio,img17.jpg
"In 1899, What happened in Buchtel hall?",3,Constructed,Demolished,Burned Down,Renovated,img18.jpg
"Who is the founder of the Chemistry Department, who began teaching the world’s first college courses in rubber chemistry?",2,Charles Darwin,Charles M. Knight,Herman Mark,Hezzleton E. Simmons,img19.jpg
Which president visited UA in 1997?,1,Bill Clinton,George H. W. Bush,Ronald Reagan,Jimmy Carter,img20.jpg
What is the name of the entrepreneurship program at the University of Akron that helps students develop their business ideas and ventures?,1,Fitzgerald Institute for Entrepreneurial Studies,Akron Innovate,Startup Hub,Venture Forge,img21.jpg
What year was the College of Business established at the University of Akron?,2,1940,1953,1950,1949,img22.jpg
Who is the current dean of the College of Business?,1,RJ Nemer,James B. Thompson,Debmalya Mukherjee,Katie Willis,img23.jpg
What is the official accreditation body for the College of Business at the University of Akron?,3,ACBSP,NEASC,AACSB,IACBE,img22.jpg
Which notable polymer research center is located at the University of Akron? ,1,The Goodyear Polymer Center,Center for Quantum Polymerization,Institute for Hyperdimensional Polymer Studies,Center for Extraterrestrial Polymer Research,img29.jpg
"What is Akron's nickname, reflecting its history in the rubber industry? ",2,Concrete Jungle,Rubber City,Steel City,Brickyard City,img30.jpg
Which famous American inventor had his tire factory in Akron? ,3,Thomas Edison,Nikola Tesla,Charles Goodyear,Alexander Graham Bell,img31.jpg
In which athletic conference does the University of Akron compete? ,4,Big 10 Conference,Mountain West Conference,Atlantic Coast Conference,Mid-American Conference (MAC),img32.jpg
What is the name of the art museum located in downtown Akron?,2,Akron Contemporary Art Museum,Akron Art Museum,Summit Art Gallery,Ohio Valley Art Center ,img33.jpg
What notable event does Akron host annually related to hot air ballooning?,3,Akron Balloon Fiesta,Goodyear Derby,The All-American Soap Box Derby,Summit County Hot Air Festival,img34.jpg
What is the name of the large national park located near Akron? ,4,Forest Lake Widlife  Preserve,River Woods Nature Reserve,Summit Valley National Park,Cuyahoga Valley National Park,img35.jpg
Which major tire company was founded in Akron?,1,Goodyear,Bridgestone ,Michelin,Firestone,img36.jpg
What is the name of the historic theater in Akron? ,4,Summit Theater,Akron Opera House,Buchtel Performing Arts Center,Akron Civic Theatre,img37.jpg
What unique engineering program is offered at the University of Akron? ,3,Corrosion Engineering,Biomedical Engineering,Aerospace Systems Engineering,Civil Engineering,img38.jpg
Which annual music festival is held in Akron?,2,Akronpalooza,The Summit Music Festival,Rubber City Music Festival,PorchRockr Festival,img39.jpg
What historical figure founded Akron?,1,Simon Perkins,John Buchtel,Thomas Jefferson,Abraham Lincoln,img40.jpg
What is the name of the Akron Zoo? ,2,Summit County Wildlife Park,Akron Zoo,Ohio Valley Zoological Gardens ,Cuyahoga Valley Animal reserve,img41.jpg
Which Akron hospital is nationally recognized for its medical research? ,3,St. Thomas Hospital,Summit Medical Center,Summa Health System - Akron Campus,Akron General Hospital,img42.jpg
What is the name of the large reservoir located in Akron? ,4,Summit Reservoir,Cuyahoga River Reservoir,Akron Basin,Portage Lakes,img43.jpg
